#{"t_start": 1581686582.9609406, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,5.701685
,-50.0,50,7.630416
,-50.0,50,9.251353
,-50.0,50,10.861528
,-50.0,50,12.499277
,-50.0,50,14.101591
,-50.0,50,15.717118
,-50.0,50,17.365321
,-50.0,50,18.982265
,-50.0,50,20.598187
,-50.0,50,22.216675
,-50.0,50,23.865123
,-50.0,50,25.451009
,-50.0,50,27.067993
,-50.0,50,28.682968
,-50.0,50,30.281259
,-50.0,50,31.881509
,-50.0,50,33.529001
,-50.0,50,35.133475
,-50.0,50,36.736798
,-50.0,50,38.363255
,-50.0,50,39.953614
,-50.0,50,41.592213
,-50.0,50,43.201258
,-50.0,50,44.821737
,-50.0,50,46.402459
,-50.0,50,48.039517
,-50.0,50,49.639278
,-50.0,50,51.239941
,-50.0,50,52.874286
,-50.0,50,54.461511
,-50.0,50,56.082576
,-50.0,50,57.685816
,-50.0,50,59.344395
,-50.0,50,60.929446
,-50.0,50,62.519326
,-50.0,50,64.159237
,-50.0,50,65.771841
,-50.0,50,67.346956
,-50.0,50,69.009223
,-50.0,50,70.605477
,-50.0,50,72.213604
,-50.0,50,73.84289
,-50.0,50,75.438025
,-50.0,50,77.036422
,-50.0,50,78.685344
,-50.0,50,80.281545
,-50.0,50,81.918491
,-50.0,50,83.534744
,-50.0,50,85.109325
,-50.0,50,86.816646
,-50.0,50,87.093566
,-50.0,50,87.36384
,-50.0,50,87.620867
,-50.0,50,87.873609
,-50.0,50,88.152758
,-50.0,50,88.436471
,-50.0,50,88.724891
,-50.0,50,88.991045
,-50.0,50,89.255022
,-50.0,50,89.746732
,-50.0,50,91.340597
,-50.0,50,92.944783
,-50.0,50,94.559852
,-50.0,50,96.164212
,-50.0,50,97.786608
,-50.0,50,99.403258
,-50.0,50,101.004018
,-50.0,50,102.587624
,-50.0,50,104.229448
,-50.0,50,105.809275
,-50.0,50,107.441273
,-50.0,50,109.061346
,-50.0,50,110.702952
,-50.0,50,112.266319
,-50.0,50,113.881842
,-50.0,50,115.538754
,-50.0,50,117.12788
,-50.0,50,118.743737
,-50.0,50,120.398881
,-50.0,50,122.006264
,-50.0,50,123.602866
,-50.0,50,125.215384
,-50.0,50,126.856797
,-50.0,50,128.472628
,-50.0,50,130.078063
,-50.0,50,131.710722
,-50.0,50,133.328293
,-50.0,50,134.923506
,-50.0,50,136.563732
,-50.0,50,138.157343
,-50.0,50,139.795296
,-50.0,50,141.36842
,-50.0,50,143.032178
,-50.0,50,144.603336
,-50.0,50,146.251535
,-50.0,50,147.831137
,-50.0,50,149.482067
,-50.0,50,151.085614
,-50.0,50,152.654752
,-50.0,50,154.261969
,-50.0,50,155.907998
,-50.0,50,157.551957
,-50.0,50,159.139628
,-50.0,50,160.747606
,-50.0,50,162.37407
,-50.0,50,163.977276
,-50.0,50,165.568168
,-50.0,50,167.183026
,-50.0,50,168.777948
,-50.0,50,170.449859
,-50.0,50,170.737715
,-50.0,50,171.077061
,-50.0,50,171.349947
,-50.0,50,171.630144
,-50.0,50,171.930566
,-50.0,50,172.226912
,-50.0,50,172.497519
,-50.0,50,172.786379
,-50.0,50,173.076897
,-50.0,50,173.357989
,-50.0,50,174.984329
,-50.0,50,176.564401
,-50.0,50,178.193678
,-50.0,50,179.807249
,-50.0,50,181.41474
,-50.0,50,183.081643
,-50.0,50,184.696486
,-50.0,50,186.302605
,-50.0,50,187.936412
,-50.0,50,189.57155
,-50.0,50,191.173539
,-50.0,50,192.777736
,-50.0,50,194.422069
,-50.0,50,196.002524
,-50.0,50,197.634053
,-50.0,50,199.254537
,-50.0,50,200.870535
,-50.0,50,202.480053
,-50.0,50,204.074798
,-50.0,50,205.727138
,-50.0,50,207.340253
,-50.0,50,208.982534
,-50.0,50,210.587291
,-50.0,50,212.237965
,-50.0,50,213.815953
,-50.0,50,215.457176
,-50.0,50,217.061257
,-50.0,50,218.710975
,-50.0,50,220.309628
,-50.0,50,221.908264
,-50.0,50,223.582445
,-50.0,50,225.159848
,-50.0,50,226.778934
,-50.0,50,228.419597
,-50.0,50,229.991359
,-50.0,50,231.651535
,-50.0,50,233.2757
,-50.0,50,234.871592
,-50.0,50,236.490337
,-50.0,50,238.095004
,-50.0,50,239.754338
,-50.0,50,241.354403
,-50.0,50,242.970004
,-50.0,50,244.601256
,-50.0,50,246.214539
,-50.0,50,247.880453
,-50.0,50,249.470955
,-38.0,50,251.104012
,-50.0,50,252.723335
,-50.0,50,254.366642
,-50.0,50,254.67285
,-50.0,50,254.951037
,-50.0,50,255.247028
,-50.0,50,255.525746
,-50.0,50,255.772428
,-50.0,50,256.046734
,-50.0,50,256.360316
,-50.0,50,256.634631
,-50.0,50,256.924979
,-50.0,50,257.282782
,-50.0,50,258.919037
,-50.0,50,260.534692
,-50.0,50,262.127065
,-50.0,50,263.72487
,-50.0,50,265.362974
,-50.0,50,266.996461
,-50.0,50,268.604569
,-50.0,50,270.21234
,-50.0,50,271.84955
,-50.0,50,273.481921
,-50.0,50,275.087584
,-50.0,50,276.723667
,-50.0,50,278.302962
,-50.0,50,279.94253
,-50.0,50,281.565751
,-50.0,50,283.228772
,-50.0,50,284.813045
,-50.0,50,286.457396
,-50.0,50,288.045144
,-50.0,50,289.665919
,-50.0,50,291.307251
,-50.0,50,292.910223
,-50.0,50,294.536751
,-50.0,50,296.142843
,-50.0,50,297.771975
,-50.0,50,299.420865
,-50.0,50,301.019503
,-49.0,50,302.676613
,-50.0,50,304.254637
,-50.0,50,305.941661
,-50.0,50,307.537459
,-50.0,50,309.200073
,-50.0,50,310.798758
,-50.0,50,312.408535
,-50.0,50,314.040222
,-50.0,50,315.652697
,-50.0,50,317.278933
,-50.0,50,318.888394
,-50.0,50,320.52309
,-50.0,50,322.137527
,-50.0,50,323.788726
,-50.0,50,325.394535
,-48.0,50,327.031685
,-50.0,50,328.611241
,-50.0,50,330.243857
,-50.0,50,331.865861
,-50.0,50,333.534777
,-50.0,50,335.134572
,-50.0,50,336.773988
,-50.0,50,338.409053
,-50.0,50,338.692918
,-50.0,50,338.959899
,-46.0,50,339.250228
,-50.0,50,339.523951
,-50.0,50,339.817991
,-47.0,50,340.098582
,-50.0,50,340.429798
,-50.0,50,340.698285
,-50.0,50,340.951196
,-50.0,50,341.269617
,-50.0,50,342.941252
,-50.0,50,344.542814
,-50.0,50,346.173448
