actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
2.0731177,0.079401046,0.3777149,0.23453823,0.19579029,0.78740454,-100.0,10.0,-2.6694784,0.0,-100.0,50.0,0.0
2.1923704,0.078717984,0.37886482,0.2316504,0.1993646,0.774443,-100.0,20.0,-4.7733774,0.0,-100.0,100.0,0.0
2.3230934,0.07682037,0.38058463,0.23116325,0.19812739,0.7698705,-100.0,30.0,-6.6454573,0.0,-99.994995,150.0,0.0
2.529899,0.07510182,0.38221,0.23021092,0.19716801,0.76697195,-100.0,40.0,-8.58198,0.0,-99.99625,200.0,0.0
2.7457552,0.075022325,0.3831971,0.23069687,0.19655043,0.76508075,-100.0,50.0,-10.413906,0.0,-100.0,250.0,0.0
2.9598742,0.075362206,0.38311556,0.23069279,0.196557,0.76458544,-100.0,60.0,-12.620209,0.0,-100.0,300.0,0.0
3.1823828,0.07613304,0.38117748,0.2310797,0.19625393,0.7655229,-100.0,70.0,-14.281628,0.0,-99.98625,350.0,0.0
3.4019864,0.07760709,0.380618,0.23148833,0.19616991,0.76790035,-100.0,80.0,-15.638886,0.0,-99.979996,400.0,0.0
3.6148846,0.07956548,0.38054213,0.23175289,0.19599417,0.7703576,-100.0,90.0,-16.930943,0.0,-100.0,450.0,0.0
3.8225799,0.08179197,0.38030717,0.23196514,0.19579455,0.7731478,-99.94375,100.0,-18.83308,0.0062500000931322575,-100.0,500.0,0.0
4.025136,0.08413558,0.38034612,0.23236525,0.1957561,0.77508926,-100.0,110.0,-20.668724,0.0,-99.98375,550.0,0.0
4.220107,0.08641501,0.37955824,0.23288201,0.19560064,0.77749306,-100.0,120.0,-21.43556,0.0,-99.99625,600.0,0.0
4.4086065,0.08868465,0.3790515,0.23349085,0.19553126,0.78089094,-100.0,130.0,-21.9096,0.0,-99.97375,650.0,0.0
4.59047,0.09104842,0.37875387,0.23436701,0.19580027,0.7844892,-100.0,140.0,-22.877876,0.0,-99.99125,700.0,0.0
4.766126,0.09348711,0.37837845,0.23497374,0.19600087,0.7888908,-100.0,150.0,-24.221092,0.0,-99.92375,750.0,0.0
4.9368258,0.09604533,0.3781006,0.23579153,0.19597223,0.792208,-100.0,160.0,-25.03819,0.0,-99.99,800.0,0.0
5.1028805,0.098687686,0.3777805,0.23639078,0.1958283,0.79487264,-100.0,170.0,-25.747171,0.0,-99.9925,850.0,0.0
5.2634783,0.101328745,0.37773517,0.23675732,0.19576614,0.7975459,-100.0,180.0,-27.189724,0.0,-99.9975,900.0,0.0
5.4197464,0.103958875,0.37782165,0.23710586,0.19552061,0.7994408,-99.95625,190.0,-28.519207,0.0,-99.98125,950.0,0.0012499999720603228
5.5736117,0.106647894,0.37753823,0.23741177,0.1952372,0.80109143,-99.84375,200.0,-28.29954,0.0,-99.99125,1000.0,0.0
5.7252274,0.109390266,0.37727025,0.2375283,0.19510972,0.80282813,-99.96875,210.0,-30.591253,0.0,-99.95875,1050.0,0.0012499999720603228
5.874269,0.11218448,0.37729588,0.23774458,0.19498552,0.804437,-99.8375,220.0,-29.088924,0.0,-99.96875,1100.0,0.0
6.0205936,0.11502506,0.3771121,0.23801422,0.19488111,0.80576533,-100.0,230.0,-31.468975,0.0,-99.9725,1150.0,0.0
6.1639194,0.117892034,0.3767044,0.23820563,0.19471529,0.80708444,-99.9875,240.0,-32.09505,0.0,-99.99,1200.0,0.0
6.3038807,0.12083213,0.3766392,0.23837604,0.19452089,0.8088585,-99.95625,250.0,-31.873085,0.0,-99.98125,1250.0,0.0
6.4412403,0.12377715,0.37668258,0.23854615,0.1942942,0.8103897,-99.85,260.0,-31.985289,0.0062500000931322575,-99.957504,1300.0,0.0012499999720603228
6.576221,0.12679178,0.37668246,0.23850577,0.19406317,0.8119472,-99.425,270.0,-33.048717,0.0,-99.975,1350.0,0.0012499999720603228
6.7088175,0.12986407,0.3767098,0.23856303,0.193736,0.8135864,-99.99375,280.0,-34.64174,0.0,-99.9825,1400.0,0.0
6.8392344,0.13297221,0.3768018,0.2385082,0.19341977,0.81510836,-99.98125,290.0,-36.400978,0.0,-99.96125,1450.0,0.0012499999720603228
6.9673767,0.13614285,0.3766841,0.23857284,0.1932102,0.816394,-99.95625,300.0,-36.784687,0.0,-99.979996,1500.0,0.0
7.0932646,0.13935082,0.3765488,0.2385879,0.19291154,0.8176421,-99.78125,310.0,-37.065895,0.0,-99.99376,1550.0,0.0
7.217407,0.14257596,0.37639138,0.23871739,0.19266117,0.8192011,-100.0,320.0,-38.080513,0.0,-99.97625,1600.0,0.0
7.3383007,0.14583081,0.37625045,0.2387649,0.19242087,0.820835,-100.0,330.0,-38.800507,0.0,-99.9875,1650.0,0.0012499999720603228
7.456464,0.14907354,0.3761875,0.23880568,0.19225688,0.8222709,-100.0,340.0,-39.704056,0.0,-99.945,1700.0,0.0012499999720603228
7.5715485,0.15228935,0.3761144,0.23890996,0.19209458,0.8237842,-100.0,350.0,-38.127857,0.0,-99.990005,1750.0,0.0
7.6837687,0.15556528,0.37587905,0.2391675,0.19194739,0.82514346,-100.0,360.0,-39.392944,0.0,-99.97,1800.0,0.0024999999441206455
7.7931786,0.15880725,0.37588796,0.23916261,0.19181797,0.82700646,-99.99375,370.0,-40.324917,0.0,-99.99625,1850.0,0.0
7.8995943,0.1620717,0.37590823,0.23921658,0.19176532,0.8288761,-100.0,380.0,-39.520306,0.0,-99.979996,1900.0,0.0
8.003271,0.16535789,0.37589815,0.23934524,0.19166505,0.83051413,-99.931244,390.0,-40.518017,0.0,-99.973755,1950.0,0.0
8.104139,0.16869944,0.3758602,0.2393699,0.19162583,0.8321379,-100.0,400.0,-39.758606,0.0,-99.93875,2000.0,0.0
8.202384,0.17204687,0.37588558,0.23936644,0.19156969,0.8337655,-99.81875,410.0,-40.787277,0.0062500000931322575,-99.93625,2050.0,0.0012499999720603228
8.298313,0.1753943,0.37589994,0.23933883,0.19139312,0.8355054,-99.76875,420.0,-41.220684,0.0,-99.963745,2100.0,0.0
8.391555,0.17871441,0.3759614,0.23932217,0.19128235,0.8372411,-100.0,430.0,-39.82249,0.0,-99.97375,2150.0,0.0
8.482681,0.18201113,0.37573814,0.23933561,0.19111441,0.83881295,-99.99375,440.0,-40.628807,0.0,-99.99126,2200.0,0.0
8.571024,0.18536855,0.3756609,0.23929289,0.19101094,0.84055454,-99.99375,450.0,-42.6584,0.0,-99.9775,2250.0,0.0
8.65703,0.18868706,0.3756018,0.23927753,0.19088139,0.8421535,-99.975,460.0,-41.426224,0.0,-99.95875,2300.0,0.0
8.741009,0.19196618,0.3755204,0.23928727,0.19084418,0.84367794,-99.43125,470.0,-39.35385,0.0062500000931322575,-99.96875,2350.0,0.0
8.822615,0.1952649,0.37547627,0.2392844,0.19074684,0.84521383,-99.99375,480.0,-40.952877,0.0,-99.96625,2400.0,0.0012499999720603228
8.90229,0.19851014,0.3755825,0.23926783,0.19068265,0.8466506,-99.54375,490.0,-39.81548,0.0062500000931322575,-99.925,2450.0,0.0037499999161809683
8.979954,0.20171763,0.3755735,0.23922351,0.19061737,0.8480462,-99.9875,500.0,-40.67878,0.0,-99.97749,2500.0,0.0
9.056346,0.204902,0.3754639,0.23921701,0.1905253,0.8493006,-99.9375,510.0,-41.946358,0.0,-99.955,2550.0,0.0
9.130873,0.20803943,0.37527743,0.23921299,0.19041345,0.85063726,-99.79375,520.0,-39.755207,0.0,-99.948746,2600.0,0.0
9.20361,0.21114954,0.37521186,0.23919061,0.19031455,0.8519391,-99.93125,530.0,-42.336388,0.0,-99.9825,2650.0,0.0
9.274516,0.214156,0.37519655,0.23913908,0.1902207,0.85333985,-99.399994,540.0,-43.529724,0.0,-99.932495,2700.0,0.0012499999720603228
9.343845,0.21717513,0.3751626,0.2391235,0.19018549,0.8544563,-99.99375,550.0,-42.351696,0.0,-99.97125,2750.0,0.0
9.411196,0.22011937,0.37506294,0.23910916,0.19011685,0.85575974,-100.0,560.0,-41.980896,0.0,-99.84375,2800.0,0.0024999999441206455
9.476893,0.22306125,0.3751093,0.23908399,0.19008324,0.85686785,-99.55625,570.0,-42.884277,0.0,-99.93001,2850.0,0.0012499999720603228
9.541433,0.22595242,0.37519455,0.2390259,0.19008213,0.8579554,-99.99375,580.0,-42.37545,0.0,-99.96375,2900.0,0.0
9.605045,0.22885966,0.3751751,0.23900212,0.19001155,0.85896194,-100.0,590.0,-45.87223,0.0,-99.896255,2950.0,0.0
9.667607,0.23173791,0.37513232,0.23897178,0.18999507,0.8598833,-99.375,600.0,-43.02542,0.0062500000931322575,-99.9375,3000.0,0.0
9.729069,0.23458116,0.37520632,0.2389384,0.1899889,0.8607859,-99.975,610.0,-43.796227,0.0,-99.95125,3050.0,0.0012499999720603228
9.788653,0.23742512,0.37513226,0.23895465,0.18997738,0.8616655,-99.8,620.0,-42.187252,0.0,-99.947495,3100.0,0.0
